Nd, dim, samples, burnSamples, sd, device, samplerTime, mcmcTime, tuneTime, burnTime, cpuTime, kernel, blocksz, gpuTime, cuTime, kernelTime, gpuBandwidth, cuBandwidth, kernelBandwidth, acceptance, ess
1600000,125,5000,1000,0.212874,2,128600,106740,0,21350,0,1,32,21.311211,17.931858,3.379346,76.889214,90.65448,3.847827,0.0126,508.374176
1600000,125,5000,1000,0.212874,2,128310,106490,0,21300,0,2,1024,21.260731,17.93478,3.32594,77.062584,90.639481,3.850424,0.012,562.542725
1600000,125,5000,1000,0.212874,2,127500,105820,0,21160,0,2,512,21.125942,17.933743,3.192217,77.554451,90.644737,4.013679,0.0166,525.927002
1600000,125,5000,1000,0.212874,2,126900,105320,0,21060,0,2,256,21.026957,17.925837,3.101107,77.920364,90.684708,4.135626,0.0116,580.179993
1600000,125,5000,1000,0.212874,2,126940,105350,0,21070,0,2,128,21.029026,17.936569,3.092439,77.913635,90.630463,4.155291,0.012,528.454224
1600000,125,5000,1000,0.212874,2,127980,106220,0,21250,0,2,64,21.20681,17.932228,3.27459,77.262955,90.652298,3.939674,0.0122,439.583527
1600000,125,5000,1000,0.212874,2,128770,106880,0,21370,0,2,32,21.334677,17.931787,3.40285,76.804779,90.654472,3.82124,0.0168,474.982941
1600000,125,5000,1000,0.212874,2,128140,106360,0,21260,0,3,1024,21.234383,17.930098,3.304272,77.158394,90.663231,3.875671,0.013,516.500854
1600000,125,5000,1000,0.212874,2,127630,105930,0,21180,0,3,512,21.146761,17.934721,3.212014,77.478378,90.639961,3.988937,0.0084,516.335083
1600000,125,5000,1000,0.212874,2,127270,105630,0,21130,0,3,256,21.088522,17.924088,3.164419,77.69297,90.693581,4.052871,0.0122,502.585602
1600000,125,5000,1000,0.212874,2,127510,105830,0,21160,0,3,128,21.127762,17.936651,3.19113,77.549599,90.630051,4.026786,0.0124,505.480316
1600000,125,5000,1000,0.212874,2,128850,106940,0,21390,0,3,64,21.350145,17.932751,3.417373,76.744209,90.649574,3.775108,0.011,535.877747
1600000,125,5000,1000,0.212874,2,129660,107610,0,21530,0,3,32,21.487309,17.931612,3.55572,76.259079,90.655487,3.656978,0.0128,539.092102
1600000,125,250,50,0.212874,1,183550,153220,0,30330,500,0,0,0,0,0,0,0,0,0.004,0
2500000,80,5000,1000,0.266092,2,150070,124330,0,24890,0,0,1024,24.830128,19.097111,5.732968,66.855316,85.876663,3.49209,0.0136,368.371094
2500000,80,5000,1000,0.266092,2,145740,121020,0,24200,0,0,512,24.171806,19.099274,5.072494,68.676743,85.867111,3.950552,0.0102,415.033142
2500000,80,5000,1000,0.266092,2,144370,119890,0,23970,0,0,256,23.942616,19.097271,4.845273,69.335785,85.87606,4.143933,0.0108,484.164886
2500000,80,5000,1000,0.266092,2,144560,120040,0,24000,0,0,128,23.970798,19.096212,4.874608,69.257607,85.881073,4.135207,0.0114,383.812958
2500000,80,5000,1000,0.266092,2,147550,122540,0,24500,0,0,64,24.47508,19.095484,5.379527,67.837257,85.884308,3.776918,0.0084,416.799103
2500000,80,5000,1000,0.266092,2,150480,124970,0,24990,0,0,32,24.961464,19.097067,5.864393,66.528366,85.877106,3.520426,0.0116,427.273621
2500000,80,5000,1000,0.266092,2,147940,122870,0,24560,0,1,1024,24.539768,19.092918,5.446849,67.645782,85.895821,3.673672,0.0112,364.982605
2500000,80,5000,1000,0.266092,2,146230,121430,0,24290,0,1,512,24.25281,19.089931,5.162888,68.44648,85.909279,3.877601,0.0108,436.668945
2500000,80,5000,1000,0.266092,2,145570,120860,0,24180,0,1,256,24.142145,19.088068,5.054024,68.761162,85.917511,3.964979,0.0122,442.008209
2500000,80,5000,1000,0.266092,2,145470,120790,0,24160,0,1,128,24.126261,19.097216,5.029111,68.807869,85.876488,3.992453,0.01,330.893158
2500000,80,5000,1000,0.266092,2,145340,120690,0,24150,0,1,64,24.105217,19.097004,5.008181,68.871277,85.87738,4.024909,0.0126,432.55188
2500000,80,5000,1000,0.266092,2,146750,121870,0,24370,0,1,32,24.341208,19.095884,5.245333,68.210045,85.882484,3.87342,0.0138,416.608704
2500000,80,5000,1000,0.266092,2,146300,121490,0,24300,0,2,1024,24.265322,19.097321,5.167924,68.411041,85.8759,3.871923,0.0124,422.015167
2500000,80,5000,1000,0.266092,2,145090,120470,0,24090,0,2,512,24.062355,19.097466,4.964871,68.988358,85.875206,4.032258,0.0144,431.817139
2500000,80,5000,1000,0.266092,2,144180,119730,0,23930,0,2,256,23.909832,19.090611,4.819202,69.429245,85.906242,4.158226,0.0106,370.235992
2500000,80,5000,1000,0.266092,2,144260,119790,0,23950,0,2,128,23.924932,19.098223,4.826689,69.387093,85.871964,4.159886,0.0096,402.809021
2500000,80,5000,1000,0.266092,2,145780,121050,0,24210,0,2,64,24.17712,19.096857,5.080302,68.666489,85.878258,3.967792,0.011,398.209656
2500000,80,5000,1000,0.266092,2,146970,122050,0,24400,0,2,32,24.376116,19.095238,5.280869,68.112625,85.885361,3.847347,0.0112,387.419922
2500000,80,5000,1000,0.266092,2,146100,121320,0,24260,0,3,1024,24.230141,19.094488,5.135692,68.509987,85.888664,3.896223,0.0118,344.352478
2500000,80,5000,1000,0.266092,2,145290,120640,0,24130,0,3,512,24.097347,19.097595,4.999748,68.888077,85.874672,4.004123,0.0144,457.66922
2500000,80,5000,1000,0.266092,2,144750,120200,0,24040,0,3,256,24.007065,19.089472,4.917577,69.147934,85.911316,4.074985,0.0126,335.140656
2500000,80,5000,1000,0.266092,2,145190,120560,0,24120,0,3,128,24.07933,19.097618,4.981709,68.942116,85.874733,4.030433,0.0096,381.941956
2500000,80,5000,1000,0.266092,2,147120,122180,0,24430,0,3,64,24.40082,19.096245,5.304559,68.036987,85.880524,3.800066,0.0096,549.006836
2500000,80,5000,1000,0.266092,2,148430,123270,0,24650,0,3,32,24.616234,19.09605,5.520152,67.448105,85.881676,3.680587,0.0086,416.072998
2500000,80,250,50,0.266092,1,195670,163040,0,32630,500,0,0,0,0,0,0,0,0,0.056,0
4000000,50,5000,1000,0.336583,2,205570,170600,0,34120,0,0,1024,34.096458,24.960733,9.135716,49.742241,66.664764,3.506247,0.0062,273.618866
4000000,50,5000,1000,0.336583,2,199010,165410,0,33080,0,0,512,33.058609,24.962101,8.096456,51.304836,66.660973,3.960116,0.008,375.232544
4000000,50,5000,1000,0.336583,2,196800,163570,0,32720,0,0,256,32.673519,24.961187,7.712301,51.911385,66.663544,4.165495,0.0088,241.765472
4000000,50,5000,1000,0.336583,2,197070,163810,0,32750,0,0,128,32.721851,24.960932,7.760928,51.838364,66.664047,4.155684,0.008,262.734802
4000000,50,5000,1000,0.336583,2,201840,167770,0,33560,0,0,64,33.527355,24.961205,8.566104,50.600849,66.663498,3.795063,0.0092,321.677185
4000000,50,5000,1000,0.336583,2,206440,171610,0,34320,0,0,32,34.296124,24.961723,9.334362,49.481823,66.662086,3.538782,0.0088,205.483566
4000000,50,5000,1000,0.336583,2,202640,168440,0,33680,0,1,1024,33.649124,24.960649,8.688356,50.403229,66.664833,3.684903,0.0098,292.580078
4000000,50,5000,1000,0.336583,2,199900,166160,0,33230,0,1,512,33.192017,24.960424,8.231576,51.097633,66.665474,3.891267,0.0076,283.904449
4000000,50,5000,1000,0.336583,2,198770,165220,0,33030,0,1,256,33.018188,24.960873,8.057337,51.36763,66.664337,3.979301,0.0064,264.862976
4000000,50,5000,1000,0.336583,2,198570,165040,0,33000,0,1,128,32.969196,24.961103,8.008113,51.445801,66.663834,4.011618,0.01,247.958496
4000000,50,5000,1000,0.336583,2,198340,164860,0,32970,0,1,64,32.933575,24.960781,7.972794,51.50526,66.664406,4.045261,0.0114,370.868469
4000000,50,5000,1000,0.336583,2,200650,166770,0,33350,0,1,32,33.315472,24.959589,8.3559,50.922386,66.667946,3.890409,0.005,281.277191
4000000,50,5000,1000,0.336583,2,199920,166160,0,33240,0,2,1024,33.195393,24.960693,8.234661,51.092033,66.664795,3.887913,0.0054,219.19017
4000000,50,5000,1000,0.336583,2,197900,164500,0,32890,0,2,512,32.862701,24.961031,7.901634,51.609703,66.663727,4.05377,0.007,256.409912
4000000,50,5000,1000,0.336583,2,196600,163410,0,32680,0,2,256,32.641479,24.960827,7.68066,51.960472,66.664459,4.174455,0.0076,252.600266
4000000,50,5000,1000,0.336583,2,196600,163400,0,32680,0,2,128,32.646236,24.961023,7.685203,51.954666,66.663895,4.180171,0.0048,331.44577
4000000,50,5000,1000,0.336583,2,199050,165440,0,33090,0,2,64,33.048813,24.960949,8.087905,51.32571,66.664124,3.987691,0.0098,256.433838
4000000,50,5000,1000,0.336583,2,200970,167050,0,33410,0,2,32,33.374538,24.960993,8.41357,50.83242,66.663994,3.863737,0.007,253.256302
4000000,50,5000,1000,0.336583,2,199630,165930,0,33170,0,3,1024,33.146141,24.960785,8.185325,51.167801,66.664459,3.911364,0.0136,298.676971
4000000,50,5000,1000,0.336583,2,198280,164810,0,32960,0,3,512,32.924419,24.960661,7.963783,51.51276,66.664764,4.022123,0.0088,218.396423
4000000,50,5000,1000,0.336583,2,197550,164190,0,32840,0,3,256,32.799644,24.960218,7.839396,51.709831,66.666031,4.089925,0.0068,274.447754
4000000,50,5000,1000,0.336583,2,198110,164660,0,32930,0,3,128,32.893749,24.960632,7.933126,51.563858,66.66494,4.049542,0.0056,267.865906
4000000,50,5000,1000,0.336583,2,201190,167220,0,33440,0,3,64,33.406265,24.960663,8.445616,50.776394,66.66497,3.81882,0.0058,253.961212
4000000,50,5000,1000,0.336583,2,203290,168980,0,33800,0,3,32,33.755745,24.96069,8.795061,50.258369,66.664894,3.696138,0.0074,321.515137
4000000,50,250,50,0.336583,1,224390,186490,0,37900,634,0,0,0,0,0,0,0,0,0.048,0
20000000,10,5000,1000,0.752622,2,682190,566250,0,113200,0,0,1024,113.208275,67.731819,45.47665,18.374634,28.347139,3.521803,0.008,51.614922
20000000,10,5000,1000,0.752622,2,648830,540260,0,108040,0,0,512,108.012756,67.731636,40.28125,19.259903,28.347235,3.979869,0.0106,52.097569
20000000,10,5000,1000,0.752622,2,636980,530400,0,106070,0,0,256,106.036995,67.731369,38.304161,19.621929,28.347393,4.193452,0.0078,63.298027
20000000,10,5000,1000,0.752622,2,638410,531570,0,106320,0,0,128,106.271721,67.731644,38.539177,19.584723,28.347237,4.184297,0.009,89.052055
20000000,10,5000,1000,0.752622,2,662420,551600,0,110310,0,0,64,110.275681,67.73185,42.544117,18.884907,28.34721,3.820624,0.0074,51.113876
20000000,10,5000,1000,0.752622,2,685020,570420,0,114080,0,0,32,114.042633,67.732002,46.310513,18.283867,28.347094,3.566431,0.0078,64.73407
20000000,10,5000,1000,0.752622,2,666720,555250,0,110950,0,1,1024,111.00679,67.732094,43.274891,18.738338,28.347059,3.699098,0.011,59.346851
20000000,10,5000,1000,0.752622,2,652850,543600,0,108720,0,1,512,108.679039,67.732872,40.946503,19.140404,28.346796,3.911386,0.0086,57.822525
20000000,10,5000,1000,0.752622,2,647730,539350,0,107870,0,1,256,107.849304,67.733505,40.117134,19.288855,28.346497,3.996027,0.0106,46.19455
20000000,10,5000,1000,0.752622,2,645840,537760,0,107560,0,1,128,107.510345,67.731567,39.780457,19.352299,28.347282,4.037789,0.008,89.420006
20000000,10,5000,1000,0.752622,2,644790,536900,0,107370,0,1,64,107.327217,67.732307,39.595551,19.391523,28.346998,4.0727,0.0096,55.979649
20000000,10,5000,1000,0.752622,2,656420,546580,0,109320,0,1,32,109.264465,67.732498,41.533241,19.059517,28.346869,3.913464,0.0122,75.297432
20000000,10,5000,1000,0.752622,2,652990,543730,0,108750,0,2,1024,108.693359,67.732559,40.96159,19.137188,28.346926,3.908004,0.006,56.770237
20000000,10,5000,1000,0.752622,2,643080,535520,0,107050,0,2,512,107.05233,67.732567,39.319912,19.43119,28.34693,4.073169,0.0108,51.441738
20000000,10,5000,1000,0.752622,2,636630,530100,0,106020,0,2,256,105.968803,67.733223,38.235111,19.631546,28.346649,4.192844,0.008,89.509003
20000000,10,5000,1000,0.752622,2,636250,529780,0,105960,0,2,128,105.902596,67.73214,38.171505,19.646221,28.347002,4.208026,0.0092,35.97765
20000000,10,5000,1000,0.752622,2,648230,539750,0,107960,0,2,64,107.898033,67.732407,40.167225,19.288967,28.346956,4.014684,0.0082,56.423004
20000000,10,5000,1000,0.752622,2,658120,548010,0,109590,0,2,32,109.5504,67.73262,41.816124,19.009932,28.346889,3.887018,0.011,52.952415
20000000,10,5000,1000,0.752622,2,651410,542410,0,108480,0,3,1024,108.432892,67.73217,40.701378,19.183041,28.347,3.933,0.0122,56.691608
20000000,10,5000,1000,0.752622,2,645120,537180,0,107430,0,3,512,107.382767,67.731964,39.650703,19.37129,28.347103,4.039172,0.011,66.34848
20000000,10,5000,1000,0.752622,2,641430,534090,0,106820,0,3,256,106.765236,67.73288,39.030228,19.484961,28.346804,4.107378,0.0092,44.961563
20000000,10,5000,1000,0.752622,2,643710,535990,0,107200,0,3,128,107.143456,67.731964,39.409645,19.419029,28.347214,4.07573,0.01,59.814499
20000000,10,5000,1000,0.752622,2,658950,548680,0,109740,0,3,64,109.682159,67.732231,41.9501,18.975243,28.347097,3.844109,0.0098,49.476265
20000000,10,5000,1000,0.752622,2,669520,557510,0,111500,0,3,32,111.459084,67.731911,43.725552,18.684349,28.347164,3.717203,0.009,35.827126
20000000,10,250,50,0.752622,1,485040,398520,0,86520,1500,0,0,0,0,0,0,0,0,0.088,0
